symbol,date,open,high,low,close,volume,gain_percent,days_up,prior_gain
FRSX,2020-12-23,4.22,6.45,3.95,5.72,995127,35.54502369668246,4,133.1491712707182
BWEN,2020-12-28,6.2,8.82,6.2,8.72,132669,40.645161290322584,1,44.353899883585576
MPU,2020-12-28,6.045,38.04,5.79,13.68,428522,126.30272952853599,2,146.73469387755097
BTBT,2020-12-28,6.69,12.4,6.43,10.445,211041,56.128550074738406,1,19.57104557640752
EQ,2020-12-29,4.4,6.345,4.09,6.2,88312,40.90909090909089,1,-7.2708113804004215
BNGO,2020-12-29,0.9497,1.49,0.9401,1.33,1556215,40.044224491944824,2,71.1171171171171
IPDN,2020-12-30,1.91,5.51,1.86,2.625,252549,37.434554973821996,2,59.16666666666666
FGNX,2020-12-30,3.67,4.89,3.67,4.78,65336,30.245231607629442,1,21.122112211221133
MPU,2020-12-31,7.68,15.0,7.68,10.77,244037,40.234375,1,225.42372881355934
BTBT,2020-12-31,14.12,24.29,13.86,21.79,346971,54.320113314447596,4,134.356846473029
MBAI,2021-01-04,0.7222,1.65,0.68,1.44,1140849,99.3907504846303,4,88.5639686684073
JAGX,2021-01-04,0.91,1.85,0.8997,1.8,1011346,97.80219780219781,4,30.000000000000004
BNGO,2021-01-04,5.24,7.23,4.51,7.11,3013885,35.68702290076335,5,648.1439177612793
NCTY,2021-01-05,6.33,10.09,5.98,8.55,146269,35.07109004739337,2,68.8
NCTY,2021-01-06,9.65,15.79,9.6,14.72,278586,52.53886010362694,3,210.28938906752416
FTFT,2021-01-07,2.33,5.89,2.18,5.75,1682985,146.78111587982832,1,22.955145118733512
DDD,2021-01-07,13.45,25.29,13.22,22.955,3398220,70.66914498141263,3,25.75970079476391
LMFA,2021-01-08,0.84,2.31,0.83,2.11,520385,151.19047619047618,1,20.568393856753264
SIFY,2021-01-11,1.65,3.68,1.65,2.84,87392,72.12121212121212,3,28.90625
LCID,2021-01-11,10.035,13.92,10.03,13.14,2409702,30.94170403587444,1,0.04985044865404298
CRVO,2021-01-11,0.9735,1.335,0.96,1.285,55844,31.99794555726758,1,15.31627576403698
GME,2021-01-13,20.31,38.59,20.11,31.59,2523582,55.53914327917282,1,10.380434782608706
SAVA,2021-01-13,8.33,12.95,8.18,11.43,171987,37.214885954381735,1,1.833740831295838
FRSX,2021-01-13,4.51,7.9,4.33,6.76,490919,49.88913525498893,1,9.732360097323589
CRNT,2021-01-15,3.05,6.26,3.05,4.84,621280,58.68852459016394,1,-10.029498525073755
WWR,2021-01-19,5.12,7.06,4.98,6.99,269466,36.5234375,1,2.7081243731193583
AIRG,2021-01-19,19.82,27.55,19.72,26.0,50567,31.180625630676072,1,8.306010928961749
SENS,2021-01-19,1.56,2.975,1.505,2.77,2576260,77.56410256410255,1,82.75538894095595
NDRA,2021-01-19,1.27,1.71,1.23,1.69,138817,33.07086614173227,2,41.11111111111112
COCP,2021-01-19,1.62,2.425,1.62,2.195,116865,35.49382716049381,1,11.724137931034484
ACRS,2021-01-19,14.07,19.94,13.31,18.71,1601750,32.97796730632552,1,122.09944751381214
DARE,2021-01-19,1.44,2.65,1.44,2.35,135571,63.194444444444464,1,8.679245283018865
INUV,2021-01-19,0.96,1.7,0.9171,1.45,666064,51.04166666666667,1,46.56488549618318
PAYO,2021-01-20,10.545,13.81,10.5,13.76,289418,30.48838311996207,1,-1.3564078578110372
TLSA,2021-01-20,3.51,5.29,3.44,4.685,169108,33.47578347578348,2,23.15789473684209
EXPR,2021-01-22,1.165,1.995,1.16,1.8,305774,54.50643776824033,1,-8.267716535433067
OPTT,2021-01-22,4.11,5.58,4.1,5.58,339334,35.76642335766422,4,40.75342465753427
POLA,2021-01-22,17.64,24.85,17.5,23.58,145357,33.673469387755084,2,100.6825938566553
ANY,2021-01-25,1.94,3.38,1.94,2.78,157866,43.29896907216495,1,-9.345794392523377
IZEA,2021-01-25,5.18,7.4,5.18,7.0,209960,35.13513513513513,3,61.87499999999999
LFMD,2021-01-26,13.22,18.13,13.15,17.84,51270,34.94704992435702,5,70.58064516129032
TRVG,2021-01-27,2.12,5.86,2.09,3.17,1157078,49.52830188679245,1,0.952380952380949
JILL,2021-01-27,4.84,8.57,4.41,6.44,101365,33.057851239669425,1,25.38860103626943
CENN,2021-01-27,0.3525,1.5,0.35,1.365,3596685,287.2340425531915,1,-18.909592822636302
TOON,2021-01-27,1.63,3.0,1.61,2.995,714267,83.74233128834359,1,14.7887323943662
BBW,2021-01-27,4.75,8.26,4.75,6.77,185186,42.52631578947368,1,7.954545454545436
NOK,2021-01-27,4.975,8.81,4.87,6.6,16832940,32.66331658291457,1,18.17102137767219
CVM,2021-01-27,14.11,40.77,14.05,26.575,324468,88.34160170092133,1,-2.857142857142858
PED,2021-01-28,1.43,3.5,1.43,2.71,116189,89.51048951048952,1,-0.694444444444442
NEGG,2021-01-28,7.055,16.88,7.055,10.0,359107,41.7434443656981,3,35.15325670498084
USEG,2021-01-28,4.36,7.91,4.36,6.56,94183,50.458715596330265,1,-3.964757709251099
GSM,2021-02-01,2.07,3.12,2.07,2.74,427862,32.36714975845412,1,-3.2710280373831946
VXRT,2021-02-02,17.12,24.85,14.71,23.35,492981,36.390186915887845,3,82.32161874334398
OCGN,2021-02-02,2.08,3.73,2.01,3.31,2495446,59.13461538461537,1,8.616187989556146
SLS,2021-02-02,6.24,8.77,6.08,8.16,76072,30.76923076923077,1,5.762711864406778
SOGP,2021-02-03,6.43,10.32,6.24,8.47,212521,31.726283048211524,3,82.67045454545455
CLNN,2021-02-03,7.97,13.585,7.82,13.1,52202,64.366373902133,1,22.427035330261134
CPSH,2021-02-03,8.89,17.4,8.33,16.555,378521,86.22047244094486,1,27.181688125894144
BDRX,2021-02-04,2.7,3.8,2.7,3.77,74008,39.62962962962961,2,24.42396313364057
SOGP,2021-02-04,10.91,16.0,10.61,14.38,303702,31.805682859761685,4,221.82890855457225
SINT,2021-02-04,1.96,2.75,1.94,2.605,174857,32.90816326530612,1,8.287292817679548
CNSP,2021-02-04,2.14,3.63,2.11,3.36,64356,57.009345794392516,1,17.260273972602747
AACG,2021-02-04,3.65,19.59,3.47,13.89,1090718,280.5479452054795,1,196.74796747967477
WAFU,2021-02-04,6.4,9.41,6.4,8.5,63895,32.8125,5,39.13043478260872
AAME,2021-02-05,3.61,15.73,3.61,5.0,844572,38.50415512465375,2,39.38223938223939
OCGN,2021-02-05,3.41,5.9,3.11,5.245,2263225,53.81231671554252,1,92.65536723163844
OGI,2021-02-08,2.48,3.36,2.48,3.29,318977,32.66129032258065,1,36.63911845730028
OCGN,2021-02-08,9.28,18.73,9.15,15.84,3866809,70.68965517241381,2,414.12742382271466
NAUT,2021-02-08,13.615,25.66,13.615,22.16,339070,62.76165993389644,2,20.700354609929093
SGLY,2021-02-08,7.26,10.96,7.09,10.94,171889,50.688705234159784,1,17.475728155339798
DCOY,2021-02-08,1.63,2.3,1.51,2.185,139063,34.04907975460123,3,45.535714285714256
EFOI,2021-02-09,5.11,9.6,5.11,7.13,147711,39.5303326810176,1,6.016597510373445
