symbol,date,gain_pct,days_up,volume,trades,pnl,win,loss
BRN,2021-05-03,42.05607476635513,1,100677,0,0.0,0,1
LEDS,2021-05-04,60.94594594594594,1,185880,0,0.0,0,1
COCP,2021-05-04,30.182926829268286,1,2309934,1,205.9557499999904,1,0
AMS,2021-05-05,31.716417910447745,1,88789,0,0.0,0,1
LEDS,2021-05-06,90.70631970260223,3,2067124,1,6664.835564999994,1,0
IHT,2021-05-10,74.78753541076489,1,181650,0,0.0,0,1
JMIA,2021-05-11,39.13163716814161,1,392540,0,0.0,0,1
IHT,2021-05-11,39.13043478260872,2,172702,0,0.0,0,1
PRSO,2021-05-14,49.066213921901536,1,126045,1,3541.535944999997,1,0
TRAW,2021-05-18,35.821274435135834,3,316971,0,0.0,0,1
PRSO,2021-05-19,33.17073170731708,1,120419,0,0.0,0,1
UONE,2021-05-20,54.69255663430421,2,786937,0,0.0,0,1
PVLA,2021-05-25,64.15929203539825,1,1383421,0,0.0,0,1
ABTS,2021-05-25,35.34743202416919,1,99458,0,0.0,0,1
SOGP,2021-05-26,56.192660550458704,1,224264,0,0.0,0,1
AMC,2021-05-27,43.58561460010737,4,6580194,0,0.0,0,1
EXPR,2021-06-02,31.313131313131315,2,921222,0,0.0,0,1
KOSS,2021-06-02,52.97439759036146,1,250418,0,0.0,0,1
EFOI,2021-06-03,39.618138424820984,1,148111,1,24.984299999996757,1,0
AMSC,2021-06-04,31.780616078136738,1,109539,0,0.0,0,1
CLOV,2021-06-08,33.051614850588585,2,11318349,1,4993.999359999998,1,0
IHT,2021-06-08,34.4626168224299,1,156234,0,0.0,0,1
DMRA,2021-06-10,63.02186878727631,1,201015,0,0.0,0,1
ALF,2021-06-15,32.692307692307686,3,676258,1,2155.7172999999957,1,0
ALF,2021-06-18,33.719008264462815,1,179452,0,0.0,0,1
ALF,2021-06-22,71.87171398527865,1,638317,1,857.1617000000009,1,0
XTKG,2021-06-29,88.07947019867548,1,180122,0,0.0,0,1
DDL,2021-06-30,43.459022701038855,1,55811,1,1433.590270000001,1,0
BLIN,2021-07-02,44.032258064516114,1,302908,1,1952.8369199999918,1,0
XTKG,2021-07-06,62.70270270270268,1,259059,0,0.0,0,1
NEGG,2021-07-06,36.61616161616161,5,53795,0,0.0,0,1
IPW,2021-07-07,36.29893238434163,1,50625,0,0.0,0,1
LMFA,2021-07-08,46.61458333333333,1,436574,0,0.0,0,1
MDIA,2021-07-12,247.57085020242914,2,284060,1,24.983009999998043,1,0
WORX,2021-07-12,52.312138728323696,1,131720,0,0.0,0,1
RNAZ,2021-07-12,31.8840579710145,1,53453,0,0.0,0,1
RCAT,2021-07-13,58.862876254180584,1,164172,1,24.98693999999859,1,0
RCAT,2021-07-16,45.70552147239264,4,77139,0,0.0,0,1
AEHR,2021-07-19,31.300813008130078,2,542816,0,0.0,0,1
AEMD,2021-07-19,31.333333333333325,1,172609,0,0.0,0,1
LXU,2021-07-20,45.83333333333335,1,87218,0,0.0,0,1
HYFT,2021-07-22,95.69093610698364,1,478342,1,1683.8022749999998,1,0
NRXP,2021-07-22,40.95972579263068,2,686232,1,762.8973449999979,1,0
FEED,2021-07-23,254.98903508771926,1,307265,0,0.0,0,1
NRXP,2021-07-23,30.41749502982105,3,577207,0,0.0,0,1
NCTY,2021-07-26,39.4572025052192,1,225854,0,0.0,0,1
BTBT,2021-07-26,79.67479674796746,1,1336280,0,0.0,0,1
INTZ,2021-07-27,39.4808743169399,1,575860,0,0.0,0,1
ZSTK,2021-07-28,57.784145176695304,1,481812,0,0.0,0,1
XBIO,2021-07-29,74.83443708609272,3,181646,0,0.0,0,1
ZSTK,2021-08-03,63.11053984575834,3,347989,0,0.0,0,1
